id,text,domain,product,intent,operation,entities
EXP2_00001,"Is payment pay_ABC123 still pending, or has it been captured?",razorpay,payments,STATUS,,{}
EXP2_00002,"Is payment order_XYZ789 still pending, or has it been captured? for my online store",razorpay,payments,STATUS,,{}
EXP2_00003,"Is payment rfnd_DEF456 still pending, or has it been captured? from my backend",razorpay,payments,STATUS,,{}
EXP2_00004,"Is payment pout_GHI321 still pending, or has it been captured? for a customer",razorpay,payments,STATUS,,{}
EXP2_00005,"Is payment setl_JKL654 still pending, or has it been captured? today",razorpay,payments,STATUS,,{}
EXP2_00006,"Is payment trf_MNO987 still pending, or has it been captured? while I'm testing the integration",razorpay,payments,STATUS,,{}
EXP2_00007,The customer says they paid. Can I check the transaction status? for my online store,razorpay,payments,STATUS,,{}
EXP2_00008,The customer says they paid. Can I check the transaction status? from my backend,razorpay,payments,STATUS,,{}
EXP2_00009,The customer says they paid. Can I check the transaction status? for a customer,razorpay,payments,STATUS,,{}
EXP2_00010,The customer says they paid. Can I check the transaction status? today,razorpay,payments,STATUS,,{}
EXP2_00011,The customer says they paid. Can I check the transaction status? while I'm testing the integration,razorpay,payments,STATUS,,{}
EXP2_00012,The customer says they paid. Can I check the transaction status? from the dashboard,razorpay,payments,STATUS,,{}
EXP2_00013,Where can I see the current state of refund rfnd_DEF456? from my backend,razorpay,refunds,STATUS,,{}
EXP2_00014,Where can I see the current state of refund pout_GHI321? for a customer,razorpay,refunds,STATUS,,{}
EXP2_00015,Where can I see the current state of refund setl_JKL654? today,razorpay,refunds,STATUS,,{}
EXP2_00016,Where can I see the current state of refund trf_MNO987? while I'm testing the integration,razorpay,refunds,STATUS,,{}
EXP2_00017,Where can I see the current state of refund pay_ABC123? from the dashboard,razorpay,refunds,STATUS,,{}
EXP2_00018,Where can I see the current state of refund order_XYZ789?,razorpay,refunds,STATUS,,{}
EXP2_00019,Has today's settlement reached the bank account yet? for a customer,razorpay,settlements,STATUS,,{}
EXP2_00020,Has today's settlement reached the bank account yet? today,razorpay,settlements,STATUS,,{}
EXP2_00021,Has today's settlement reached the bank account yet? while I'm testing the integration,razorpay,settlements,STATUS,,{}
EXP2_00022,Has today's settlement reached the bank account yet? from the dashboard,razorpay,settlements,STATUS,,{}
EXP2_00023,Has today's settlement reached the bank account yet?,razorpay,settlements,STATUS,,{}
EXP2_00024,Has today's settlement reached the bank account yet? for my online store,razorpay,settlements,STATUS,,{}
EXP2_00025,How do I tell whether a Payment Link has already been paid? today,razorpay,payment_links,STATUS,,{}
EXP2_00026,What's the process to do I tell whether a Payment Link has already been paid? while I'm testing the integration,razorpay,payment_links,STATUS,,{}
EXP2_00027,I need to know how to do I tell whether a Payment Link has already been paid? from the dashboard,razorpay,payment_links,STATUS,,{}
EXP2_00028,Can you explain how do I tell whether a Payment Link has already been paid?,razorpay,payment_links,STATUS,,{}
EXP2_00029,What's the best way to do I tell whether a Payment Link has already been paid? for my online store,razorpay,payment_links,STATUS,,{}
EXP2_00030,Could you tell me how do I tell whether a Payment Link has already been paid? from my backend,razorpay,payment_links,STATUS,,{}
EXP2_00031,Can you check whether payout trf_MNO987 was completed? while I'm testing the integration,razorpay,payouts,STATUS,,{}
EXP2_00032,Can you check whether payout pay_ABC123 was completed? from the dashboard,razorpay,payouts,STATUS,,{}
EXP2_00033,Can you check whether payout order_XYZ789 was completed?,razorpay,payouts,STATUS,,{}
EXP2_00034,Can you check whether payout rfnd_DEF456 was completed? for my online store,razorpay,payouts,STATUS,,{}
EXP2_00035,Can you check whether payout pout_GHI321 was completed? from my backend,razorpay,payouts,STATUS,,{}
EXP2_00036,Can you check whether payout setl_JKL654 was completed? for a customer,razorpay,payouts,STATUS,,{}
EXP2_00037,I need to know what state order pay_ABC123 is in. from the dashboard,razorpay,orders,STATUS,,{}
EXP2_00038,I need to know what state order order_XYZ789 is in.,razorpay,orders,STATUS,,{}
EXP2_00039,I need to know what state order rfnd_DEF456 is in. for my online store,razorpay,orders,STATUS,,{}
EXP2_00040,I need to know what state order pout_GHI321 is in. from my backend,razorpay,orders,STATUS,,{}
EXP2_00041,I need to know what state order setl_JKL654 is in. for a customer,razorpay,orders,STATUS,,{}
EXP2_00042,I need to know what state order trf_MNO987 is in. today,razorpay,orders,STATUS,,{}
EXP2_00043,Is invoice order_XYZ789 marked as paid yet?,razorpay,invoices,STATUS,,{}
EXP2_00044,Is invoice rfnd_DEF456 marked as paid yet? for my online store,razorpay,invoices,STATUS,,{}
EXP2_00045,Is invoice pout_GHI321 marked as paid yet? from my backend,razorpay,invoices,STATUS,,{}
EXP2_00046,Is invoice setl_JKL654 marked as paid yet? for a customer,razorpay,invoices,STATUS,,{}
EXP2_00047,Is invoice trf_MNO987 marked as paid yet? today,razorpay,invoices,STATUS,,{}
EXP2_00048,Is invoice pay_ABC123 marked as paid yet? while I'm testing the integration,razorpay,invoices,STATUS,,{}
EXP2_00049,Can I check whether this subscription is active? for my online store,razorpay,subscriptions,STATUS,,{}
EXP2_00050,Can I check whether this subscription is active? from my backend,razorpay,subscriptions,STATUS,,{}
EXP2_00051,Can I check whether this subscription is active? for a customer,razorpay,subscriptions,STATUS,,{}
EXP2_00052,Can I check whether this subscription is active? today,razorpay,subscriptions,STATUS,,{}
EXP2_00053,Can I check whether this subscription is active? while I'm testing the integration,razorpay,subscriptions,STATUS,,{}
EXP2_00054,Can I check whether this subscription is active? from the dashboard,razorpay,subscriptions,STATUS,,{}
EXP2_00055,What happened to the Route transfer to the linked account? from my backend,razorpay,route,STATUS,,{}
EXP2_00056,What happened to the Route transfer to the linked account? for a customer,razorpay,route,STATUS,,{}
EXP2_00057,What happened to the Route transfer to the linked account? today,razorpay,route,STATUS,,{}
EXP2_00058,What happened to the Route transfer to the linked account? while I'm testing the integration,razorpay,route,STATUS,,{}
EXP2_00059,What happened to the Route transfer to the linked account? from the dashboard,razorpay,route,STATUS,,{}
EXP2_00060,What happened to the Route transfer to the linked account?,razorpay,route,STATUS,,{}
EXP2_00061,How can I tell if this QR payment was completed? for a customer,razorpay,qr_codes,STATUS,,{}
EXP2_00062,What's the process to can I tell if this QR payment was completed? today,razorpay,qr_codes,STATUS,,{}
EXP2_00063,I need to know how to can I tell if this QR payment was completed? while I'm testing the integration,razorpay,qr_codes,STATUS,,{}
EXP2_00064,Can you explain how can I tell if this QR payment was completed? from the dashboard,razorpay,qr_codes,STATUS,,{}
EXP2_00065,What's the best way to can I tell if this QR payment was completed?,razorpay,qr_codes,STATUS,,{}
EXP2_00066,Could you tell me how can I tell if this QR payment was completed? for my online store,razorpay,qr_codes,STATUS,,{}
EXP2_00067,Where can I see the current status of a dispute? today,razorpay,disputes,STATUS,,{}
EXP2_00068,Where can I see the current status of a dispute? while I'm testing the integration,razorpay,disputes,STATUS,,{}
EXP2_00069,Where can I see the current status of a dispute? from the dashboard,razorpay,disputes,STATUS,,{}
EXP2_00070,Where can I see the current status of a dispute?,razorpay,disputes,STATUS,,{}
EXP2_00071,Where can I see the current status of a dispute? for my online store,razorpay,disputes,STATUS,,{}
EXP2_00072,Where can I see the current status of a dispute? from my backend,razorpay,disputes,STATUS,,{}
EXP2_00073,The card transaction is being declined repeatedly. What should I investigate?,razorpay,payments,FAILURE_TROUBLESHOOT,,{}
EXP2_00074,The card transaction is being declined repeatedly. What should I investigate? for my online store,razorpay,payments,FAILURE_TROUBLESHOOT,,{}
EXP2_00075,The card transaction is being declined repeatedly. What should I investigate? from my backend,razorpay,payments,FAILURE_TROUBLESHOOT,,{}
EXP2_00076,The card transaction is being declined repeatedly. What should I investigate? for a customer,razorpay,payments,FAILURE_TROUBLESHOOT,,{}
EXP2_00077,The card transaction is being declined repeatedly. What should I investigate? today,razorpay,payments,FAILURE_TROUBLESHOOT,,{}
